DopingConcentration(C1(n1314_msh)) X,DopingConcentration(C1(n1314_msh)) Y,DopingConcentration(C1(n1349_msh)) X,DopingConcentration(C1(n1349_msh)) Y,DopingConcentration(C1(n1384_msh)) X,DopingConcentration(C1(n1384_msh)) Y,DopingConcentration(C2(n1207_msh_4)) X,DopingConcentration(C2(n1207_msh_4)) Y,DopingConcentration(C2(n1242_msh_4)) X,DopingConcentration(C2(n1242_msh_4)) Y,DopingConcentration(C2(n1277_msh_4)) X,DopingConcentration(C2(n1277_msh_4)) Y,GR = 0.03 ; AB = 0.32 X,GR = 0.03 ; AB = 0.32 Y,GR = 0.03 ; AB = 0.62 X,GR = 0.03 ; AB = 0.62 Y,GR = 0.07 ; AB = 0.32 X,GR = 0.07 ; AB = 0.32 Y,GR = 0.07 ; AB = 0.62 X,GR = 0.07 ; AB = 0.62 Y,GR = 0.1 ; AB = 0.32 X,GR = 0.1 ; AB = 0.32 Y,GR = 0.1 ; AB = 0.62 X,GR = 0.1 ; AB = 0.62 Y
-4.0296617,9.9009951e+15,-4.0296617,9.9009951e+15,-4.0296617,9.9009951e+15,-4.0314136,9.9009951e+15,-4.0314136,9.9009951e+15,-4.0314136,9.9009951e+15,-3.4931576,1e+16,-4.0274801,9.9009951e+15,-3.4931576,1e+16,-4.0274801,9.9009951e+15,-3.4931576,1e+16,-4.0274801,9.9009951e+15
-4.0179815,9.9009951e+15,-4.0179815,9.9009951e+15,-4.0179815,9.9009951e+15,-4.0179815,9.9009951e+15,-4.0179815,9.9009951e+15,-4.0179815,9.9009951e+15,-3.4756637,1e+16,-4.0179815,9.9009951e+15,-3.4756637,1e+16,-4.0179815,9.9009951e+15,-3.4756637,1e+16,-4.0179815,9.9009951e+15
-3.9596851,9.9009952e+15,-3.9596851,9.9009952e+15,-3.9596851,9.9009952e+15,-3.9614372,9.9009952e+15,-3.9614372,9.9009952e+15,-3.9614372,9.9009952e+15,-3.4581695,1e+16,-3.9575038,9.9009952e+15,-3.4581695,1e+16,-3.9575038,9.9009952e+15,-3.4581695,1e+16,-3.9575038,9.9009952e+15
-3.9480052,9.9009952e+15,-3.9480052,9.9009952e+15,-3.9480052,9.9009952e+15,-3.9480052,9.9009952e+15,-3.9480052,9.9009952e+15,-3.9480052,9.9009952e+15,-3.4406753,1e+16,-3.9480052,9.9009952e+15,-3.4406753,1e+16,-3.9480052,9.9009952e+15,-3.4406753,1e+16,-3.9480052,9.9009952e+15
-3.8897085,9.9009953e+15,-3.8897085,9.9009953e+15,-3.8897085,9.9009953e+15,-3.8914607,9.9009953e+15,-3.8914607,9.9009953e+15,-3.8914607,9.9009953e+15,-3.4231811,1e+16,-3.8875275,9.9009953e+15,-3.4231811,1e+16,-3.8875275,9.9009953e+15,-3.4231811,1e+16,-3.8875275,9.9009953e+15
-3.8780286,9.9009954e+15,-3.8780286,9.9009954e+15,-3.8780286,9.9009954e+15,-3.8780286,9.9009954e+15,-3.8780286,9.9009954e+15,-3.8780286,9.9009954e+15,-3.4056871,1e+16,-3.8780286,9.9009954e+15,-3.4056871,1e+16,-3.8780286,9.9009954e+15,-3.4056871,1e+16,-3.8780286,9.9009954e+15
-3.8488803,9.9009954e+15,-3.8488803,9.9009954e+15,-3.8488803,9.9009954e+15,-3.8497565,9.9009954e+15,-3.8497565,9.9009954e+15,-3.8497565,9.9009954e+15,-3.3881929,1e+16,-3.8477898,9.9009954e+15,-3.3881929,1e+16,-3.8477898,9.9009954e+15,-3.3881929,1e+16,-3.8477898,9.9009954e+15
-3.8430405,9.9009954e+15,-3.8430405,9.9009954e+15,-3.8430405,9.9009954e+15,-3.8430405,9.9009954e+15,-3.8430405,9.9009954e+15,-3.8430405,9.9009954e+15,-3.3532047,1e+16,-3.8430405,9.9009954e+15,-3.3532047,1e+16,-3.8430405,9.9009954e+15,-3.3532047,1e+16,-3.8430405,9.9009954e+15
-3.8138921,9.9009955e+15,-3.8138921,9.9009955e+15,-3.8138921,9.9009955e+15,-3.8147681,9.9009955e+15,-3.8147681,9.9009955e+15,-3.8147681,9.9009955e+15,-3.3182163,1e+16,-3.8128014,9.9009955e+15,-3.3182163,1e+16,-3.8128014,9.9009955e+15,-3.3182163,1e+16,-3.8128014,9.9009955e+15
-3.8080521,9.9009955e+15,-3.8080521,9.9009955e+15,-3.8080521,9.9009955e+15,-3.8080521,9.9009955e+15,-3.8080521,9.9009955e+15,-3.8080521,9.9009955e+15,-3.2832282,1e+16,-3.8080521,9.9009955e+15,-3.2832282,1e+16,-3.8080521,9.9009955e+15,-3.2832282,1e+16,-3.8080521,9.9009955e+15
