Number,SettingsPath,DataPath,Curvename
76,log/2019-02-18-17-08-35-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/75/DopingProfile_Ch8e16_ND1.0e16.csv,DopingConcentration(C1(n10803_msh))
77,log/2019-02-18-17-15-19-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/75/DopingProfile_Ch8e16_ND1.0e16.csv,DopingConcentration(C1(n10832_msh))
78,log/2019-02-18-17-24-50-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/75/DopingProfile_Ch8e16_ND1.0e16.csv,DopingConcentration(C1(n10861_msh))
79,log/2019-02-18-17-50-52-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/75/DopingProfile_Ch8e16_ND1.0e16.csv,DopingConcentration(C1(n10890_msh))
80,log/2019-02-19-15-37-05-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/PNAPD/data/75/DopingProfile_Ch8e16_ND1.0e16.csv,DopingConcentration(C1(n10890_msh))
81,log/2019-02-20-16-44-30-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/FGAPD/Data/77/Central_Doping_ElectricField.csv,DopingConcentration(C1(n615_des_3))
82,log/2019-02-20-17-09-27-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/FGAPD/Data/77/Central_Doping_ElectricField.csv,DopingConcentration(C1(n615_des_3))
83,log/2019-02-20-17-11-49-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/FGAPD/Data/77/Central_Doping_ElectricField.csv,DopingConcentration(C1(n615_des_3))
84,log/2019-02-20-17-16-08-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/FGAPD/Data/77/Central_Doping_ElectricField.csv,DopingConcentration(C1(n615_des_3))
85,log/2019-02-20-17-25-15-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/FGAPD/Data/77/Central_Doping_ElectricField.csv,DopingConcentration(C1(n615_des_3))
86,log/2019-02-20-17-26-15-Settings.csv,/Users/Ethan/PycharmProjects/Python_1/Avalanche Photodiode/FGAPD/Data/77/Central_Doping_ElectricField.csv,DopingConcentration(C1(n615_des_3))
87,log/2019-03-03-09-59-31-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/74/DopingProfile.csv,DopingConcentration(C1(n749_msh))
88,log/2019-03-03-10-24-35-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/74/DopingProfile.csv,DopingConcentration(C1(n488_msh_2))
89,log/2019-03-03-10-50-43-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/74/DopingProfile.csv,DopingConcentration(C1(n625_msh))
90,log/2019-03-03-11-03-06-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/74/DopingProfile.csv,DopingConcentration(C1(n780_msh))
91,log/2019-03-03-12-14-58-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/74/DopingProfile.csv,DopingConcentration(C1(n656_msh))
92,log/2019-03-03-12-31-32-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/74/DopingProfile.csv,DopingConcentration(C1(n687_msh))
93,log/2019-03-04-11-59-56-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/81/DopingProfile_Total.csv,GR = 0.03 ; AB = 0.32
94,log/2019-03-04-12-15-20-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/81/DopingProfile_Total.csv,DopingConcentration(C2(n1277_msh_4))
95,log/2019-03-04-12-22-25-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/81/DopingProfile_Total.csv,GR = 0.03 ; AB = 0.32
96,log/2019-03-04-12-38-34-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/81/DopingProfile_Total.csv,DopingConcentration(C2(n1277_msh_4))
97,log/2019-03-04-12-48-28-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/81/DopingProfile_Total.csv,GR = 0.03 ; AB = 0.32
98,log/2019-03-04-12-59-00-Settings.csv,/Users/Ethan/PycharmProjects/Python/Avalanche Photodiode/PNAPD/data/81/DopingProfile_Total.csv,DopingConcentration(C2(n1277_msh_4))
